Entity,Code,Year,emissions_total
Canada,CAN,1977,407790430.0
Canada,CAN,1978,415528670.0
Canada,CAN,1979,441676770.0
Canada,CAN,1980,442846850.0
Canada,CAN,1981,429629730.0
Canada,CAN,1982,414454900.0
Canada,CAN,1983,408338500.0
Canada,CAN,1984,425233340.0
Canada,CAN,1985,421718700.0
Canada,CAN,1986,404707940.0
Canada,CAN,1987,430982050.0
Canada,CAN,1988,455669100.0
Canada,CAN,1989,462885150.0
Canada,CAN,1990,458014900.0
Canada,CAN,1991,449756130.0
Canada,CAN,1992,463496740.0
Canada,CAN,1993,464160000.0
Canada,CAN,1994,478630560.0
Canada,CAN,1995,491413660.0
Canada,CAN,1996,507728670.0
Canada,CAN,1997,522021920.0
Canada,CAN,1998,529635740.0
Canada,CAN,1999,543865600.0
Canada,CAN,2000,566261400.0
Canada,CAN,2001,558360450.0
Canada,CAN,2002,563728500.0
Canada,CAN,2003,580792450.0
Canada,CAN,2004,579162750.0
Canada,CAN,2005,572854800.0
Canada,CAN,2006,568173250.0
Canada,CAN,2007,591888640.0
Canada,CAN,2008,575769900.0
Canada,CAN,2009,542810750.0
Canada,CAN,2010,554734300.0
Canada,CAN,2011,563320400.0
Canada,CAN,2012,564221200.0
Canada,CAN,2013,568853800.0
Canada,CAN,2014,566468860.0
Canada,CAN,2015,565644100.0
Canada,CAN,2016,558871600.0
Canada,CAN,2017,569602940.0
Canada,CAN,2018,579078850.0
Canada,CAN,2019,582024960.0
Canada,CAN,2020,526581600.0
Canada,CAN,2021,540311600.0
Canada,CAN,2022,550611650.0
Canada,CAN,2023,549299000.0
